evaluation_id,suite_id,dataset_id,sample_count,sample_count_status,sample_unit,task_type,label_burden_proxy,label_burden_basis,input_processing_proxy,proxy_basis,source_compute,source_runtime,compute_runtime_status,annotation_hours,annotation_hours_status,dollar_cost,dollar_cost_status,reference_url,audit_status,allowlist_id,allowlisted,allowlist_decision_reason,allowlist_v2_id,allowlisted_v2,allowlist_v2_decision_reason
eva.leaderboard.panda_small.test,eva,panda_small,,not_reported,slide,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,whole_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/panda_small.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
eva.leaderboard.panda_small.validation,eva,panda_small,,not_reported,slide,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,whole_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/panda_small.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
eva.leaderboard.patch_camelyon.test,eva,patch_camelyon,,not_reported,image,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/patch_camelyon.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,sample_count_metadata_incomplete,pathology_low_friction_pipeline_proxy_top25_v2,true,direct_image_or_patch_pipeline_with_existing_class_labels
eva.leaderboard.patch_camelyon.validation,eva,patch_camelyon,,not_reported,image,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/patch_camelyon.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,sample_count_metadata_incomplete,pathology_low_friction_pipeline_proxy_top25_v2,true,direct_image_or_patch_pipeline_with_existing_class_labels
eva.leaderboard.patch_camelyon_10shot.test,eva,patch_camelyon,,not_reported,image,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,image_direct,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/patch_camelyon_10shot.yaml,parsed_primary_source,pathology_low_friction_proxy_v1,false,sample_count_metadata_incomplete,pathology_low_friction_pipeline_proxy_top25_v2,true,direct_image_or_patch_pipeline_with_existing_class_labels
hest.ccrcc.gene_expression,hest,ccrcc,,not_reported,spatial_transcriptomics_spot,regression,existing_continuous_outcome,declared_protocol_proxy_not_measured_labor,metadata_incomplete,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
hest.coad.gene_expression,hest,coad,,not_reported,spatial_transcriptomics_spot,regression,existing_continuous_outcome,declared_protocol_proxy_not_measured_labor,metadata_incomplete,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
hest.idc.gene_expression,hest,idc,,not_reported,spatial_transcriptomics_spot,regression,existing_continuous_outcome,declared_protocol_proxy_not_measured_labor,metadata_incomplete,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
hest.lung.gene_expression,hest,lung,,not_reported,spatial_transcriptomics_spot,regression,existing_continuous_outcome,declared_protocol_proxy_not_measured_labor,metadata_incomplete,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
hest.lymph_idc.gene_expression,hest,lymph_idc,,not_reported,spatial_transcriptomics_spot,regression,existing_continuous_outcome,declared_protocol_proxy_not_measured_labor,metadata_incomplete,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
hest.paad.gene_expression,hest,paad,,not_reported,spatial_transcriptomics_spot,regression,existing_continuous_outcome,declared_protocol_proxy_not_measured_labor,metadata_incomplete,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
hest.prad.gene_expression,hest,prad,,not_reported,spatial_transcriptomics_spot,regression,existing_continuous_outcome,declared_protocol_proxy_not_measured_labor,metadata_incomplete,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
hest.read.gene_expression,hest,read,,not_reported,spatial_transcriptomics_spot,regression,existing_continuous_outcome,declared_protocol_proxy_not_measured_labor,metadata_incomplete,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
hest.skcm.gene_expression,hest,skcm,,not_reported,spatial_transcriptomics_spot,regression,existing_continuous_outcome,declared_protocol_proxy_not_measured_labor,metadata_incomplete,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.bc_therapy.er-status,pathobench,bc_therapy,166,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.bc_therapy.grade,pathobench,bc_therapy,166,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.bc_therapy.her2-status,pathobench,bc_therapy,166,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.bc_therapy.residual-cancer-burden,pathobench,bc_therapy,159,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.bcnb.er,pathobench,bcnb,1058,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.bcnb.her2,pathobench,bcnb,1058,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.bcnb.pr,pathobench,bcnb,1058,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.boehmk_.pfs,pathobench,boehmk_,183,source_reported,case,survival,existing_time_to_event_outcome,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.bracs.slidelevel-coarse,pathobench,bracs,547,source_reported,slide,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,whole_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.bracs.slidelevel-fine,pathobench,bracs,547,source_reported,slide,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,whole_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_brca.immune-class,pathobench,cptac_brca,103,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_brca.pik3ca-mutation,pathobench,cptac_brca,103,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_brca.tp53-mutation,pathobench,cptac_brca,103,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_ccrcc.bap1-mutation,pathobench,cptac_ccrcc,103,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_ccrcc.immune-class,pathobench,cptac_ccrcc,103,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_ccrcc.os,pathobench,cptac_ccrcc,94,source_reported,case,survival,existing_time_to_event_outcome,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_ccrcc.pbrm1-mutation,pathobench,cptac_ccrcc,103,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_ccrcc.vhl-mutation,pathobench,cptac_ccrcc,103,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_coad.acvr2a-mutation,pathobench,cptac_coad,94,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_coad.apc-mutation,pathobench,cptac_coad,94,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_coad.arid1a-mutation,pathobench,cptac_coad,94,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_coad.immune-class,pathobench,cptac_coad,94,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_coad.kras-mutation,pathobench,cptac_coad,94,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_coad.msi-h,pathobench,cptac_coad,93,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_coad.pik3ca-mutation,pathobench,cptac_coad,94,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_coad.setd1b-mutation,pathobench,cptac_coad,94,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_coad.tp53-mutation,pathobench,cptac_coad,94,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
pathobench.exaone2025.cptac_gbm.egfr-mutation,pathobench,cptac_gbm,99,source_reported,case,classification,existing_class_label,declared_protocol_proxy_not_measured_labor,case_level_slide_processing,sample_unit_and_task_type_only,,,metadata_incomplete,,metadata_incomplete,,not_reported_no_numeric_cost_invented,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,pathology_low_friction_proxy_v1,false,requires_non_image_patch_sample_unit,pathology_low_friction_pipeline_proxy_top25_v2,false,requires_non_image_patch_sample_unit
