model_id,evaluation_id,selected_value,selected_reference_url,alternate_value,alternate_reference_url,absolute_difference,decision
virchow-2,eva.leaderboard.bach.validation,0.883,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.89,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.007000000000000006,prefer_current_eva_repository_snapshot
virchow-2,eva.leaderboard.breakhis.validation,0.821,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.818,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0030000000000000027,prefer_current_eva_repository_snapshot
virchow-2,eva.leaderboard.crc.validation,0.967,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.966,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0010000000000000009,prefer_current_eva_repository_snapshot
virchow-2,eva.leaderboard.gleason_arvaniti.validation,0.783,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.791,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.008000000000000007,prefer_current_eva_repository_snapshot
virchow-2,eva.leaderboard.mhist.test,0.861,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.865,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0040000000000000036,prefer_current_eva_repository_snapshot
virchow-2,eva.leaderboard.patch_camelyon.test,0.938,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.938,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0,prefer_current_eva_repository_snapshot
virchow-2,eva.leaderboard.camelyon16_small.test,0.861,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.86,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0010000000000000009,prefer_current_eva_repository_snapshot
virchow-2,eva.leaderboard.panda_small.test,0.646,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.646,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0,prefer_current_eva_repository_snapshot
virchow-2,eva.leaderboard.consep.validation,0.64,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.64,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0,prefer_current_eva_repository_snapshot
virchow-2,eva.leaderboard.monusac.test,0.669,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.674,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0050000000000000044,prefer_current_eva_repository_snapshot
midnight,eva.leaderboard.bach.validation,0.904,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.907,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0030000000000000027,prefer_current_eva_repository_snapshot
midnight,eva.leaderboard.breakhis.validation,0.819,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.84,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.02100000000000002,prefer_current_eva_repository_snapshot
midnight,eva.leaderboard.crc.validation,0.966,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.967,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0010000000000000009,prefer_current_eva_repository_snapshot
midnight,eva.leaderboard.gleason_arvaniti.validation,0.8,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.79,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.010000000000000009,prefer_current_eva_repository_snapshot
midnight,eva.leaderboard.mhist.test,0.804,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.815,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.010999999999999899,prefer_current_eva_repository_snapshot
midnight,eva.leaderboard.patch_camelyon.test,0.929,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.931,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0020000000000000018,prefer_current_eva_repository_snapshot
midnight,eva.leaderboard.camelyon16_small.test,0.849,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.869,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.020000000000000018,prefer_current_eva_repository_snapshot
midnight,eva.leaderboard.panda_small.test,0.649,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.656,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.007000000000000006,prefer_current_eva_repository_snapshot
midnight,eva.leaderboard.consep.validation,0.623,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.625,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0020000000000000018,prefer_current_eva_repository_snapshot
midnight,eva.leaderboard.monusac.test,0.659,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.664,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0050000000000000044,prefer_current_eva_repository_snapshot
kaiko-vit-b-8,eva.leaderboard.bach.validation,0.866,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.876,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.010000000000000009,prefer_current_eva_repository_snapshot
kaiko-vit-b-8,eva.leaderboard.breakhis.validation,0.832,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.842,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.010000000000000009,prefer_current_eva_repository_snapshot
kaiko-vit-b-8,eva.leaderboard.crc.validation,0.959,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.96,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0010000000000000009,prefer_current_eva_repository_snapshot
kaiko-vit-b-8,eva.leaderboard.gleason_arvaniti.validation,0.744,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.761,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.017000000000000015,prefer_current_eva_repository_snapshot
kaiko-vit-b-8,eva.leaderboard.mhist.test,0.829,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.83,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0010000000000000009,prefer_current_eva_repository_snapshot
kaiko-vit-b-8,eva.leaderboard.patch_camelyon.test,0.915,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.92,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0050000000000000044,prefer_current_eva_repository_snapshot
kaiko-vit-b-8,eva.leaderboard.camelyon16_small.test,0.814,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.836,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.02200000000000002,prefer_current_eva_repository_snapshot
kaiko-vit-b-8,eva.leaderboard.panda_small.test,0.64,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.65,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.010000000000000009,prefer_current_eva_repository_snapshot
kaiko-vit-b-8,eva.leaderboard.consep.validation,0.646,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.644,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0020000000000000018,prefer_current_eva_repository_snapshot
kaiko-vit-b-8,eva.leaderboard.monusac.test,0.68,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.686,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.006000000000000005,prefer_current_eva_repository_snapshot
h-optimus-0,eva.leaderboard.bach.validation,0.759,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.752,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.007000000000000006,prefer_current_eva_repository_snapshot
h-optimus-0,eva.leaderboard.breakhis.validation,0.801,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.813,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0119999999999999,prefer_current_eva_repository_snapshot
h-optimus-0,eva.leaderboard.crc.validation,0.955,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.962,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.007000000000000006,prefer_current_eva_repository_snapshot
h-optimus-0,eva.leaderboard.gleason_arvaniti.validation,0.77,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.769,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0010000000000000009,prefer_current_eva_repository_snapshot
h-optimus-0,eva.leaderboard.mhist.test,0.843,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.85,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.007000000000000006,prefer_current_eva_repository_snapshot
h-optimus-0,eva.leaderboard.patch_camelyon.test,0.943,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.943,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0,prefer_current_eva_repository_snapshot
h-optimus-0,eva.leaderboard.camelyon16_small.test,0.827,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.847,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.020000000000000018,prefer_current_eva_repository_snapshot
h-optimus-0,eva.leaderboard.panda_small.test,0.671,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.672,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0010000000000000009,prefer_current_eva_repository_snapshot
h-optimus-0,eva.leaderboard.consep.validation,0.644,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.644,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0,prefer_current_eva_repository_snapshot
h-optimus-0,eva.leaderboard.monusac.test,0.685,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.687,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0020000000000000018,prefer_current_eva_repository_snapshot
prov-gigapath,eva.leaderboard.bach.validation,0.759,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.794,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.03500000000000003,prefer_current_eva_repository_snapshot
prov-gigapath,eva.leaderboard.breakhis.validation,0.827,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.846,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.019000000000000017,prefer_current_eva_repository_snapshot
prov-gigapath,eva.leaderboard.crc.validation,0.951,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.959,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.008000000000000007,prefer_current_eva_repository_snapshot
prov-gigapath,eva.leaderboard.gleason_arvaniti.validation,0.724,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.727,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0030000000000000027,prefer_current_eva_repository_snapshot
prov-gigapath,eva.leaderboard.mhist.test,0.829,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.831,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0020000000000000018,prefer_current_eva_repository_snapshot
prov-gigapath,eva.leaderboard.patch_camelyon.test,0.945,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.944,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0010000000000000009,prefer_current_eva_repository_snapshot
prov-gigapath,eva.leaderboard.camelyon16_small.test,0.815,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.812,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0029999999999998916,prefer_current_eva_repository_snapshot
prov-gigapath,eva.leaderboard.panda_small.test,0.653,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.657,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0040000000000000036,prefer_current_eva_repository_snapshot
prov-gigapath,eva.leaderboard.consep.validation,0.626,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.628,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0020000000000000018,prefer_current_eva_repository_snapshot
prov-gigapath,eva.leaderboard.monusac.test,0.68,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.688,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.007999999999999896,prefer_current_eva_repository_snapshot
hibou-l,eva.leaderboard.bach.validation,0.81,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.792,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.018000000000000016,prefer_current_eva_repository_snapshot
hibou-l,eva.leaderboard.breakhis.validation,0.735,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.767,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.03200000000000003,prefer_current_eva_repository_snapshot
hibou-l,eva.leaderboard.crc.validation,0.932,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.954,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.02199999999999991,prefer_current_eva_repository_snapshot
hibou-l,eva.leaderboard.gleason_arvaniti.validation,0.764,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.766,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0020000000000000018,prefer_current_eva_repository_snapshot
hibou-l,eva.leaderboard.mhist.test,0.839,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.85,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.01100000000000001,prefer_current_eva_repository_snapshot
hibou-l,eva.leaderboard.patch_camelyon.test,0.955,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.949,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.006000000000000005,prefer_current_eva_repository_snapshot
hibou-l,eva.leaderboard.camelyon16_small.test,0.823,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.852,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.029000000000000026,prefer_current_eva_repository_snapshot
hibou-l,eva.leaderboard.panda_small.test,0.634,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.654,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.020000000000000018,prefer_current_eva_repository_snapshot
hibou-l,eva.leaderboard.consep.validation,0.646,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.646,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0,prefer_current_eva_repository_snapshot
hibou-l,eva.leaderboard.monusac.test,0.669,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.668,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0010000000000000009,prefer_current_eva_repository_snapshot
uni,eva.leaderboard.bach.validation,0.785,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.797,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.01200000000000001,prefer_current_eva_repository_snapshot
uni,eva.leaderboard.breakhis.validation,0.785,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.808,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.02300000000000002,prefer_current_eva_repository_snapshot
uni,eva.leaderboard.crc.validation,0.944,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.954,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.010000000000000009,prefer_current_eva_repository_snapshot
uni,eva.leaderboard.gleason_arvaniti.validation,0.75,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.759,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.009000000000000008,prefer_current_eva_repository_snapshot
uni,eva.leaderboard.mhist.test,0.843,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.841,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0020000000000000018,prefer_current_eva_repository_snapshot
uni,eva.leaderboard.patch_camelyon.test,0.937,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.937,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0,prefer_current_eva_repository_snapshot
uni,eva.leaderboard.camelyon16_small.test,0.833,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.854,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.02100000000000002,prefer_current_eva_repository_snapshot
uni,eva.leaderboard.panda_small.test,0.659,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/tools/data/leaderboards/pathology.csv,0.662,https://huggingface.co/kaiko-ai/midnight/blob/adc6b15679c981cce6f9b018bbad09d16eeeda9f/README.md,0.0030000000000000027,prefer_current_eva_repository_snapshot
