evaluation_id,protocol_id,task_identity_id,dataset_artifact_id,suite_id,dataset_id,task_name,task_family,target,sample_unit,task_type,num_samples,endpoint,metric,direction,protocol,reference_url,audit_status,audit_notes
pathobench.cervical_subtype.subtype,pathobench.cervical_subtype.subtype,task.pathobench.cervical_subtype.subtype,artifact.pathobench.cervical_subtype,pathobench,cervical_subtype,subtype,morphological_subtyping,subtype,case,classification,599,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cervical_subtype/subtype/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_all.organ,pathobench.cptac_all.organ,task.pathobench.cptac_all.organ,artifact.pathobench.cptac_all,pathobench,cptac_all,organ,morphological_subtyping,organ,slide,classification,2154,slide_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_all/organ/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=slide_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_brca.immune-class,pathobench.cptac_brca.immune-class,task.pathobench.cptac_brca.immune-class,artifact.pathobench.cptac_brca,pathobench,cptac_brca,Immune_class,tme_characterization,Immune_class,case,classification,103,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_brca/Immune_class/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_brca.pik3ca-mutation,pathobench.cptac_brca.pik3ca-mutation,task.pathobench.cptac_brca.pik3ca-mutation,artifact.pathobench.cptac_brca,pathobench,cptac_brca,PIK3CA_mutation,mutation_prediction,PIK3CA_mutation,case,classification,103,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_brca/PIK3CA_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_brca.tp53-mutation,pathobench.cptac_brca.tp53-mutation,task.pathobench.cptac_brca.tp53-mutation,artifact.pathobench.cptac_brca,pathobench,cptac_brca,TP53_mutation,mutation_prediction,TP53_mutation,case,classification,103,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_brca/TP53_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_ccrcc.bap1-mutation,pathobench.cptac_ccrcc.bap1-mutation,task.pathobench.cptac_ccrcc.bap1-mutation,artifact.pathobench.cptac_ccrcc,pathobench,cptac_ccrcc,BAP1_mutation,mutation_prediction,BAP1_mutation,case,classification,103,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc/BAP1_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_ccrcc.immune-class,pathobench.cptac_ccrcc.immune-class,task.pathobench.cptac_ccrcc.immune-class,artifact.pathobench.cptac_ccrcc,pathobench,cptac_ccrcc,Immune_class,tme_characterization,Immune_class,case,classification,103,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc/Immune_class/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_ccrcc.os,pathobench.cptac_ccrcc.os,task.pathobench.cptac_ccrcc.os,artifact.pathobench.cptac_ccrcc,pathobench,cptac_ccrcc,OS,survival_prediction,OS,case,survival,94,case_level_survival,cindex,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc/OS/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_ccrcc.pbrm1-mutation,pathobench.cptac_ccrcc.pbrm1-mutation,task.pathobench.cptac_ccrcc.pbrm1-mutation,artifact.pathobench.cptac_ccrcc,pathobench,cptac_ccrcc,PBRM1_mutation,mutation_prediction,PBRM1_mutation,case,classification,103,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc/PBRM1_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_ccrcc.vhl-mutation,pathobench.cptac_ccrcc.vhl-mutation,task.pathobench.cptac_ccrcc.vhl-mutation,artifact.pathobench.cptac_ccrcc,pathobench,cptac_ccrcc,VHL_mutation,mutation_prediction,VHL_mutation,case,classification,103,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc/VHL_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_ccrcc_dhmc.oncotreecode,pathobench.cptac_ccrcc_dhmc.oncotreecode,task.pathobench.cptac_ccrcc_dhmc.oncotreecode,artifact.pathobench.cptac_ccrcc_dhmc,pathobench,cptac_ccrcc_dhmc,OncoTreeCode,morphological_subtyping,OncoTreeCode,slide,classification,871,slide_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc_dhmc/OncoTreeCode/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=slide_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_coad.acvr2a-mutation,pathobench.cptac_coad.acvr2a-mutation,task.pathobench.cptac_coad.acvr2a-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,ACVR2A_mutation,mutation_prediction,ACVR2A_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/ACVR2A_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_coad.apc-mutation,pathobench.cptac_coad.apc-mutation,task.pathobench.cptac_coad.apc-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,APC_mutation,mutation_prediction,APC_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/APC_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_coad.arid1a-mutation,pathobench.cptac_coad.arid1a-mutation,task.pathobench.cptac_coad.arid1a-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,ARID1A_mutation,mutation_prediction,ARID1A_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/ARID1A_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_coad.immune-class,pathobench.cptac_coad.immune-class,task.pathobench.cptac_coad.immune-class,artifact.pathobench.cptac_coad,pathobench,cptac_coad,Immune_class,tme_characterization,Immune_class,case,classification,94,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/Immune_class/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_coad.kras-mutation,pathobench.cptac_coad.kras-mutation,task.pathobench.cptac_coad.kras-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,KRAS_mutation,mutation_prediction,KRAS_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/KRAS_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_coad.msi-h,pathobench.cptac_coad.msi-h,task.pathobench.cptac_coad.msi-h,artifact.pathobench.cptac_coad,pathobench,cptac_coad,MSI_H,molecular_subtyping,MSI_H,case,classification,93,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/MSI_H/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_coad.pik3ca-mutation,pathobench.cptac_coad.pik3ca-mutation,task.pathobench.cptac_coad.pik3ca-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,PIK3CA_mutation,mutation_prediction,PIK3CA_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/PIK3CA_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_coad.setd1b-mutation,pathobench.cptac_coad.setd1b-mutation,task.pathobench.cptac_coad.setd1b-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,SETD1B_mutation,mutation_prediction,SETD1B_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/SETD1B_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_coad.tp53-mutation,pathobench.cptac_coad.tp53-mutation,task.pathobench.cptac_coad.tp53-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,TP53_mutation,mutation_prediction,TP53_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/TP53_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_gbm.egfr-mutation,pathobench.cptac_gbm.egfr-mutation,task.pathobench.cptac_gbm.egfr-mutation,artifact.pathobench.cptac_gbm,pathobench,cptac_gbm,EGFR_mutation,mutation_prediction,EGFR_mutation,case,classification,99,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_gbm/EGFR_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_gbm.immune-class,pathobench.cptac_gbm.immune-class,task.pathobench.cptac_gbm.immune-class,artifact.pathobench.cptac_gbm,pathobench,cptac_gbm,Immune_class,tme_characterization,Immune_class,case,classification,99,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_gbm/Immune_class/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_gbm.tp53-mutation,pathobench.cptac_gbm.tp53-mutation,task.pathobench.cptac_gbm.tp53-mutation,artifact.pathobench.cptac_gbm,pathobench,cptac_gbm,TP53_mutation,mutation_prediction,TP53_mutation,case,classification,99,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_gbm/TP53_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_hnsc.casp8-mutation,pathobench.cptac_hnsc.casp8-mutation,task.pathobench.cptac_hnsc.casp8-mutation,artifact.pathobench.cptac_hnsc,pathobench,cptac_hnsc,CASP8_mutation,mutation_prediction,CASP8_mutation,case,classification,107,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_hnsc/CASP8_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_hnsc.histologic-grade,pathobench.cptac_hnsc.histologic-grade,task.pathobench.cptac_hnsc.histologic-grade,artifact.pathobench.cptac_hnsc,pathobench,cptac_hnsc,Histologic_Grade,tumor_grading,Histologic_Grade,case,classification,107,case_level_classification,weighted_kappa,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_hnsc/Histologic_Grade/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_hnsc.immune-class,pathobench.cptac_hnsc.immune-class,task.pathobench.cptac_hnsc.immune-class,artifact.pathobench.cptac_hnsc,pathobench,cptac_hnsc,Immune_class,tme_characterization,Immune_class,case,classification,107,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_hnsc/Immune_class/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_hnsc.os,pathobench.cptac_hnsc.os,task.pathobench.cptac_hnsc.os,artifact.pathobench.cptac_hnsc,pathobench,cptac_hnsc,OS,survival_prediction,OS,case,survival,102,case_level_survival,cindex,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_hnsc/OS/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_lscc.arid1a-mutation,pathobench.cptac_lscc.arid1a-mutation,task.pathobench.cptac_lscc.arid1a-mutation,artifact.pathobench.cptac_lscc,pathobench,cptac_lscc,ARID1A_mutation,mutation_prediction,ARID1A_mutation,case,classification,108,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_lscc/ARID1A_mutation/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_lscc.histologic-grade,pathobench.cptac_lscc.histologic-grade,task.pathobench.cptac_lscc.histologic-grade,artifact.pathobench.cptac_lscc,pathobench,cptac_lscc,Histologic_Grade,tumor_grading,Histologic_Grade,case,classification,104,case_level_classification,weighted_kappa,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_lscc/Histologic_Grade/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
pathobench.cptac_lscc.immune-class,pathobench.cptac_lscc.immune-class,task.pathobench.cptac_lscc.immune-class,artifact.pathobench.cptac_lscc,pathobench,cptac_lscc,Immune_class,tme_characterization,Immune_class,case,classification,108,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_lscc/Immune_class/config.yaml,parsed_primary_source,"Task identity is listed in available_splits.yaml; sample_col=case_id, task type, sample count, and metric are parsed from this task's config.yaml; family is deterministically inferred from the report taxonomy and endpoint label."
