model_id,provider,family,parameter_count,parameter_basis,model_type,modality,primary_source_url,source_title,release_date,verification_status,audit_notes
dinov2-l,Meta AI,DINOv2,304000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2304.07193,DINOv2: Learning Robust Visual Features without Supervision,2023-04-14,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
dinov2-vit-g-14-initial,Meta AI,DINOv2,1100000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2304.07193,DINOv2: Learning Robust Visual Features without Supervision,2023-04-14,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
dinov2-vit-g-14-natural-images,Meta AI,DINOv2,1100000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2304.07193,DINOv2: Learning Robust Visual Features without Supervision,2023-04-14,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
dinov3-b,Meta AI,DINOv3,86000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2508.10104,DINOv3,2025-08-13,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
dinov3-l,Meta AI,DINOv3,304000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2508.10104,DINOv3,2025-08-13,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
dinov3-s,Meta AI,DINOv3,21000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2508.10104,DINOv3,2025-08-13,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
exaone-path-2.5-slide,LG AI Research,EXAONE Path,,missing,slide_encoder,vision,https://arxiv.org/abs/2512.14019,EXAONEPath 2.5,2025-12-16,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
genbio-pathfm,GenBio-PathFM,GenBio-PathFM,1100000000,nominal_encoder_count,tile_encoder,vision,https://genbio.ai/papers/genbio-pathfm.pdf,GenBio-PathFM: A State-of-the-Art Foundation Model for Histopathology,2026-03-17,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
gpfm,GPFM,GPFM,304000000,nominal_encoder_count,tile_encoder,vision,https://www.nature.com/articles/s41551-025-01488-4,A generalizable pathology foundation model using a unified knowledge distillation pretraining framework,2024-07-26,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
h-optimus-0,H-Optimus,H-Optimus,1100000000,nominal_encoder_count,tile_encoder,vision,https://github.com/bioptimus/releases/tree/main/models/h-optimus/v0,H-optimus-0 software release and evaluation report,2024-07-30,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
h-optimus-1,H-Optimus,H-Optimus,1100000000,nominal_encoder_count,tile_encoder,vision,https://doi.org/10.1158/1538-7445.AM2026-LB174,H-optimus-1: A foundation model for computational histopathology,2025-02-17,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
h0-mini,H-Optimus,H-Optimus,86000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2501.16239v3,Distilling foundation models for robust and efficient models in digital pathology,2025-01-27,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
hibou-b,Hibou,Hibou,86000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2406.05074,Hibou: A Family of Foundational Vision Transformers for Pathology,2024-06-07,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
hibou-l,Hibou,Hibou,304000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2406.05074,Hibou: A Family of Foundational Vision Transformers for Pathology,2024-06-07,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
hipt,MahmoodLab,HIPT,21700000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2206.02647,Scaling Vision Transformers to Gigapixel Images via Hierarchical Self-Supervised Learning,2022-06-06,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
kaiko-vit-b-16,Kaiko AI,Kaiko,86000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,2024-03-24,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
kaiko-vit-b-8,Kaiko AI,Kaiko,86000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,2024-03-24,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
kaiko-vit-b-unspecified-patch,Kaiko AI,Kaiko,86000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,2024-03-24,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
kaiko-vit-l-14,Kaiko AI,Kaiko,304000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,2024-03-24,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
kaiko-vit-s-16,Kaiko AI,Kaiko,21700000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,2024-03-24,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
kaiko-vit-s-8,Kaiko AI,Kaiko,21700000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,2024-03-24,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
kaiko-vit-s-unspecified-patch,Kaiko AI,Kaiko,21700000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,2024-03-24,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
kang-dino,Kang et al.,Kang-DINO,,missing,tile_encoder,vision,https://arxiv.org/abs/2212.04690,Benchmarking Self-Supervised Learning on Diverse Pathology Datasets,2022-12-09,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
keep,,,,missing,tile_encoder,vision,https://arxiv.org/abs/2412.13126,A Knowledge-enhanced Pathology Vision-language Foundation Model for Cancer Diagnosis,2024-12-18,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
lunit-vit-s-16,Lunit,Lunit-DINO,21700000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2212.04690,Benchmarking Self-Supervised Learning on Diverse Pathology Datasets,2022-12-09,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
lunit-vit-s-8,Lunit,Lunit-DINO,21700000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2212.04690,Benchmarking Self-Supervised Learning on Diverse Pathology Datasets,2022-12-09,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
midnight,Midnight,Midnight,,missing,tile_encoder,vision,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,Training state-of-the-art pathology foundation models with orders of magnitude less data,2025-04-07,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
midnight-92k,Kaiko AI,Midnight,,missing,tile_encoder,vision,https://arxiv.org/abs/2504.05186,Training state-of-the-art pathology foundation models with orders of magnitude less data,2025-04-07,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
midnight-92k-392,Kaiko AI,Midnight,,missing,tile_encoder,vision,https://arxiv.org/abs/2504.05186,Training state-of-the-art pathology foundation models with orders of magnitude less data,2025-04-07,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
musk,MUSK,MUSK,,missing,tile_encoder,vision_language,https://www.nature.com/articles/s41586-024-08378-w,A vision-language foundation model for precision oncology,2023-12-22,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
openmidnight,OpenMidnight,OpenMidnight,,missing,tile_encoder,vision,https://sophont.med/blog/openmidnight,How to Train a State-of-the-Art Pathology Foundation Model with $1.6k,2025-11-14,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
phikon,Phikon,Phikon,86000000,nominal_encoder_count,tile_encoder,vision,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,Scaling Self-Supervised Learning for Histopathology with Masked Image Modeling,2023-07-24,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
phikon-v2,Phikon,Phikon,304000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2409.09173v1,"Phikon-v2, A large and public feature extractor for biomarker prediction",2024-09-13,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
plip,PLIP authors,PLIP,86000000,nominal_encoder_count,tile_encoder,vision_language,https://arxiv.org/abs/2306.00908,A visual-language foundation model for pathology image analysis using medical Twitter,2023-06-01,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
prism-slide,Paige,PRISM,,missing,slide_encoder,vision,https://arxiv.org/abs/2405.10254,PRISM: A Multi-Modal Generative Foundation Model for Slide-Level Histopathology,2024-05-16,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
prov-gigapath,Microsoft Research,Prov-GigaPath,1100000000,nominal_encoder_count,tile_encoder,vision,https://www.nature.com/articles/s41586-024-07441-w,A whole-slide foundation model for digital pathology from real-world data,2024-05-22,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
prov-gigapath-slide,Prov-GigaPath,Prov-GigaPath,,missing,slide_encoder,vision,https://www.nature.com/articles/s41586-024-07441-w,A whole-slide foundation model for digital pathology from real-world data,2024-05-22,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
quiltnet,Quilt AI,QuiltNet,,missing,tile_encoder,vision_language,https://arxiv.org/abs/2301.13746,Quilt-1M: One Million Image-Text Pairs for Histopathology,2023-01-31,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
resnet50,Meta AI,ResNet,25600000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/1512.03385,Deep Residual Learning for Image Recognition,2015-12-10,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
retccl,RetCCL authors,RetCCL,25600000,nominal_encoder_count,tile_encoder,vision,https://doi.org/10.1016/j.media.2022.102645,RetCCL: Clustering-guided contrastive learning for whole-slide image retrieval,2022-10-01,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
rudolfv,,,,missing,tile_encoder,vision,https://arxiv.org/abs/2401.04079,RudolfV: A Foundation Model by Pathologists for Pathologists,2024-01-08,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
threads-slide,MahmoodLab,THREADS,,missing,slide_encoder,vision,https://arxiv.org/abs/2501.16652,Molecular-driven Foundation Model for Oncologic Pathology,2025-01-28,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
titan-slide,MahmoodLab,TITAN,,missing,slide_encoder,vision_language,https://www.nature.com/articles/s41591-025-03982-3,A multimodal whole-slide foundation model for pathology,2024-11-29,verified,Parameter count intentionally unavailable; excluded from H1 denominator.
uni,UNI,UNI,304000000,nominal_encoder_count,tile_encoder,vision,https://www.nature.com/articles/s41591-024-02857-3,Towards a general-purpose foundation model for computational pathology,2023-08-29,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
uni2-h,UNI,UNI,632000000,nominal_encoder_count,tile_encoder,vision,https://www.nature.com/articles/s41591-024-02857-3,Towards a general-purpose foundation model for computational pathology,2025-01-10,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
virchow,Virchow,Virchow,632000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2309.07778,Virchow: A Million-Slide Digital Pathology Foundation Model,2023-09-14,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
virchow-2,Virchow,Virchow,632000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2408.00738,Virchow2: Scaling Self-Supervised Mixed Magnification Models in Pathology,2024-08-01,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
vit-b,Google Research,ViT,86000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2010.11929,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,2020-10-22,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
vit-l,Google Research,ViT,304000000,nominal_encoder_count,tile_encoder,vision,https://arxiv.org/abs/2010.11929,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,2020-10-22,verified,Nominal encoder parameter count; slide aggregators and task heads are excluded.
