model_id,canonical_family,component_name,level,modality,primary_paper_title,primary_paper_url,official_hf_url,official_github_url,reported_benchmark_suites_tasks,result_extraction_status,extracted_seed_suites,next_extraction_target,comparability_contamination_notes
"conch","CONCH","CONCH v1 (ViT-B/16 CoCa)","tile","vision-language","A visual-language foundation model for computational pathology","https://www.nature.com/articles/s41591-024-02856-4","https://huggingface.co/MahmoodLab/conch","https://github.com/mahmoodlab/CONCH","104 primary-paper observations: 77 public zero-shot, supervised frozen-feature, retrieval and segmentation leaves; 16 private Source A/B and 11 fine-tuned cells quarantined","official_primary_tables_extracted","CONCH primary paper; HEST; PathoROB; THUNDER","Coordinated deduplication and registry rebuild after all source waves finish","Prompt ensembles, single prompts, frozen supervised probes, retrieval and segmentation remain distinct. Internal EDU image-caption data and public PMC pretraining require separate leakage analysis."
"conch-1.5","CONCH","CONCH v1.5 (UNI-initialized ViT-L/16)","tile","vision-language","A multimodal whole-slide foundation model for pathology","https://www.nature.com/articles/s41591-025-03982-3","https://huggingface.co/MahmoodLab/TITAN","https://github.com/mahmoodlab/TITAN","433 primary-paper observations: 297 public linear/logistic, SimpleShot, kNN, ABMIL, few-shot and retrieval leaves; 124 private/internal and 12 fine-tuned cells quarantined","official_primary_tables_extracted","TITAN CONCHv1.5 tables; HEST; PathoROB; THUNDER","Coordinated deduplication and registry rebuild after all source waves finish","Weights are packaged inside TITAN. Never merge CONCH v1 and v1.5. OT108, renal/CRANE, MGB/MGH and other internal cohorts remain quarantined."
"titan","TITAN","TITAN vision-language slide encoder over CONCH v1.5 patches","slide","vision-language","A multimodal whole-slide foundation model for pathology","https://www.nature.com/articles/s41591-025-03982-3","https://huggingface.co/MahmoodLab/TITAN","https://github.com/mahmoodlab/TITAN","Public morphology, grading, molecular, survival, full/few/zero-shot, slide retrieval, Rare-Cancers-Public and TCGA report-slide retrieval","primary_paper_public_extracted","TITAN Supplementary public leaf Tables 22-64, 82-106, 119-123, 126-127","Keep report generation analysis-ineligible; periodically audit official releases","333 public numeric leaves extracted. OT108, CRANE, renal allograft, MGB/MGH, private rare-cancer, fine-tuned rows and aggregates are quarantined. Public checkpoint omits the report decoder."
"titan-v-slide","TITAN","TITAN-V vision-only slide encoder over CONCH v1.5 patches","slide","image","A multimodal whole-slide foundation model for pathology","https://www.nature.com/articles/s41591-025-03982-3","https://huggingface.co/MahmoodLab/TITAN","https://github.com/mahmoodlab/TITAN","Public morphology, grading, molecular, survival, full/few-shot, slide retrieval and Rare-Cancers-Public","primary_paper_public_extracted","TITAN Supplementary public leaf Tables 22-64, 82-89, 119-123","Periodically audit official releases","296 public numeric leaves extracted. TITAN-V is not interchangeable with multimodal TITAN and has no text zero-shot or cross-modal retrieval row. Private/fine-tuned/aggregate results remain quarantined."
"phikon","Phikon","Phikon (ViT-B/16 iBOT)","tile","image","Scaling Self-Supervised Learning for Histopathology with Masked Image Modeling","https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3","https://huggingface.co/owkin/phikon","https://github.com/owkin/HistoSSLscaling","36 staged primary observations: ABMIL slide tasks, PAIP external validation, full-data patch linear evaluation and Phikon-v2-paper external-cohort re-evaluation","official_primary_tables_extracted","Phikon primary paper; Phikon-v2 author re-evaluation; HEST; PathoROB; THUNDER","Coordinated deduplication and registry rebuild after all source waves finish","Pretrained on TCGA, so TCGA downstream overlap remains possible. Cy1 and NGX1 are private and quarantined. Model is often mislabeled Phikon-v1."
"phikon-v2","Phikon","Phikon-v2 (ViT-L/16 DINOv2)","tile","image","Phikon-v2, A large and public feature extractor for biomarker prediction","https://arxiv.org/abs/2409.09173v1","https://huggingface.co/owkin/phikon-v2","https://github.com/owkin/HistoSSLscaling","11 cohort-specific primary observations: nine public external-cohort leaves plus private Cy1 and NGX1 cells quarantined","official_primary_tables_extracted","Phikon-v2 Tables 2 and 4; HEST; PathoROB; THUNDER","Coordinated deduplication and registry rebuild after all source waves finish","PANCAN-XL includes TCGA/CPTAC/GTEx. Endpoint and cohort are not interchangeable; Cy1/NGX1 are private. CTransPath PAIP is explicitly flagged as possibly overestimated."
"hibou-b","Hibou","Hibou-B (ViT-B/14)","tile","image","Hibou: A Family of Foundational Vision Transformers for Pathology","https://arxiv.org/abs/2406.05074","https://huggingface.co/histai/hibou-b","https://github.com/HistAI/hibou","Nine public primary-paper leaves: six patch linear probes and three frozen-encoder slide attention-pooling tasks","official_primary_tables_extracted","Hibou Tables 1-2; THUNDER","Coordinated deduplication and registry rebuild after all source waves finish","Hibou-B is a distinct checkpoint family. Private pretraining reduces direct public-pretraining overlap risk but does not prove patient-level independence."
"hibou-l","Hibou","Hibou-L (ViT-L/14)","tile","image","Hibou: A Family of Foundational Vision Transformers for Pathology","https://arxiv.org/abs/2406.05074","https://huggingface.co/histai/hibou-L","https://github.com/HistAI/hibou","Nine public primary-paper frozen-encoder leaves plus 20 PanNuke CellViT task-fine-tuned cells in quarantine","official_primary_tables_extracted","Hibou Tables 1-4; HEST; THUNDER","Coordinated deduplication and registry rebuild after all source waves finish","PanNuke uses Hibou-L as a trainable CellViT backbone and is not a frozen-encoder probe. Hibou-L must not be merged with Hibou-B."
"musk","MUSK","MUSK-large (ViT-L/16, 675M) vision-language encoder","tile; multimodal patient downstream","vision-language","A vision-language foundation model for precision oncology","https://www.nature.com/articles/s41586-024-08378-w","https://huggingface.co/xiangjx/musk","https://github.com/lilab-stanford/MUSK","135 official observations: 68 public leaves; 54 cross-dataset aggregates; 9 exact PathVQA whole-model-fine-tuned cells; 4 controlled immunotherapy cells. Six zero-shot datasets dispositioned, four with exact leaves","official_primary_tables_extracted","MUSK Nature Supplementary Tables 1-7, 13-17; HEST; PathoROB; THUNDER","Re-audit if authors publish exact NCT-CRC/SICAPv2 zero-shot or melanoma-relapse source data; then coordinated registry rebuild","Retrieval, zero/few-shot, linear probes and multimodal outcomes remain separate. PathVQA exact cells are fine-tuned quarantine. MUSK small/base/large/ablations use distinct component IDs. NCT-CRC and SICAPv2 zero-shot leaves are graph-only/unlocated and not approximated."
"genbio-pathfm","GenBio-PathFM","GenBio-PathFM (1.1B JEDI)","tile","image","GenBio-PathFM: A State-of-the-Art Foundation Model for Histopathology","https://genbio.ai/papers/genbio-pathfm.pdf","https://huggingface.co/genbio-ai/genbio-pathfm","https://github.com/genbio-ai/genbio-pathfm","Primary paper: 9 HEST leaves, 12 THUNDER kNN leaves, 3 PathoROB RI, 3 BACC and 6 APD endpoints; HEST-joint and six aggregates quarantined","official_primary_tables_extracted","HEST; PathoROB; THUNDER","Periodically audit official paper/repository revisions and suite leaderboards","Paper THUNDER is kNN/F1 and must remain distinct from current THUNDER linear probing. HEST and RI paper values are rounded alternates to pinned leaderboards. Public-only pretraining still requires overlap hashes before leakage-free use."
"midnight","Midnight","Midnight-12k (released checkpoint; family also has 92k and 92k/392)","tile","image","Training state-of-the-art pathology foundation models with orders of magnitude less data","https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf","https://huggingface.co/kaiko-ai/midnight","","MICCAI Table 2: 12 EVA leaves each for Midnight-12k, Midnight-92k and post-trained Midnight-92k/392; HEST and cross-suite averages excluded","official_primary_tables_extracted","EVA; HEST; THUNDER","Reconcile only within exact checkpoint and protocol revisions when official reports change","MICCAI uses CLS+Mean and disables early stopping except Camelyon16/PANDA; values differ from later EVA/HF reports. Midnight-92k/392 is explicit high-resolution post-training and is quarantined. TCGA overlap remains possible."
"openmidnight","OpenMidnight","OpenMidnight (open Midnight replication)","tile","image","How to Train a State-of-the-Art Pathology Foundation Model with $1.6k","https://sophont.med/blog/openmidnight","https://huggingface.co/SophontAI/OpenMidnight","https://github.com/MedARC-AI/OpenMidnight","Technical report: 12 own-model EVA leaves plus excluded HEST/cross-suite averages; prior-model comparison rows are secondary evidence","official_primary_tables_extracted","EVA; HEST; THUNDER","Periodically audit the technical report, exact checkpoint revision and EVA-fork configs","OpenMidnight is not a Kaiko Midnight checkpoint. Report uses CLS only and a custom EVA fork. A prose sentence swaps BreakHis/Cam16 values; labeled table cells are selected and conflict is quarantined. TCGA overlap remains possible."
"gpfm","GPFM","GPFM (ViT-L/14 unified knowledge distillation)","tile","image","A generalizable pathology foundation model using a unified knowledge distillation pretraining framework","https://www.nature.com/articles/s41551-025-01488-4","https://huggingface.co/majiabo/GPFM","https://github.com/birkhoffkiki/GPFM","224 official observations from all 11 publisher workbooks and supplement: 99 public frozen WSI/survival/ROI/retrieval leaves; 75 non-public; 43 fine-tuned generative; 7 aggregates","official_primary_workbooks_extracted","GPFM supplement and all 11 publisher source-data XLSX; HEST","Coordinated deduplication and registry rebuild after all source waves finish","GPFM distills CONCH, Phikon and UNI and uses public H&E pretraining, creating indirect teacher/data provenance. Only cohorts in Supplementary Table 46 are public candidates; raw bootstrap draws are uncertainty provenance, not tasks."
"ctranspath","CTransPath","CTransPath (Swin-T hybrid)","tile","image","Transformer-based unsupervised contrastive learning for histopathological image classification","https://doi.org/10.1016/j.media.2022.102559","","https://github.com/Xiyue-Wang/TransPath","50 public numeric comparator cells audited from official CONCH/Phikon-family papers; all secondary-only and nine additionally fine-tuned","primary_paper_blocked_secondary_audited","HEST; PathoROB; 50 quarantined comparator cells","Acquire the publisher-hosted original Medical Image Analysis result tables or author-deposited accepted manuscript","Official repository has code/checkpoint metadata but no numeric result table. Secondary values remain quarantined. Pretrained on TCGA and PAIP; Phikon-v2 flags PAIP overlap."
